sha,deletions,insertions,net_lines,files,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count
e2f2d4b0d7ca32e0a45fdda225cce0c5aa9b4ddb,10,19,9,4,1.0,1.0,0.0,3133,476,43,9
bad4d3ff7cfb3e09d7004bc835318049d91da666,109,152,43,4,1.0,1.0,0.0,6655,957,168,25
f936ca5aea6a745dc1f649fa53180cd65cdd6e7a,21,426,405,8,0.5022222222222222,0.8311111111111111,0.8577777777777778,14006,2112,437,41
f14145e6d94541a46966f57e913d874ba80d0ef5,5,32,27,2,0.07692307692307693,0.8846153846153846,1.0,1523,208,25,5
2273673500661cc706467c24b821c6d551d16a7e,9,209,200,5,0.30434782608695654,1.0,1.0,3180,512,74,11
8bcd5040c74cdc35c034d9319f37e92b47856718,34,105,71,4,0.28125,1.0,1.0,3753,576,59,9
229479335724ec3dcb54cca25380d7f76b0eda21,112,114,2,8,0.04,1.0,0.96,11691,1776,344,32
df405ac978d18ab69b5f9921531dedf41c58c123,10,21,11,2,1.0,1.0,1.0,1651,239,17,3
82a132da603cf8b235bacc566920ae3a68679247,109,125,16,14,0.0,0.0,0.0,25483,3796,704,27
33a7df333018c79087f1be092297402a312c571d,450,1935,1485,46,0.20757825370675453,0.4645799011532125,0.728171334431631,151509,23395,2185,155
c8f35aea45af5d473e9b15349fc6552bcf9dda8b,4,6,2,1,0.0,0.0,1.0,1594,269,52,1
1fbc1d4777d26ba944e7755234db942fad276ff5,10,5,-5,2,1.0,0.4,1.0,3623,602,129,8
8c596953b03a6bc405cde313833011caad709350,151,552,401,18,0.49732620320855614,1.0,1.0,43051,8006,1176,46
421ecd32fc8fe9933cf50005eafc14705ffd45b1,8509,46604,38095,388,0.5833234772324069,0.7694263749260792,0.8125369603784742,924867,175049,19726,2700
6b3416e4807a69ec975a7a9144a2c2f1ec6541a8,1,260,259,2,0.35384615384615387,0.558974358974359,0.841025641025641,3173,464,82,12
d9d4c492abb1f5ebf9675efe5e006e8bf5a811d2,111,587,476,15,0.4937888198757764,0.8385093167701864,0.9968944099378882,45342,7041,1111,49
6fba82a4fa7b521af84b5967726a01332ea1e216,795,875,80,9,0.547945205479452,0.5342465753424658,1.0,39629,6020,972,42
d18a03b07f0b76f92f962154807aaddee447c750,12,21,9,2,0.75,0.75,0.875,2210,350,56,8
dc260f42fab408cb021620b2f60d9179ab96767d,6,207,201,3,0.2459016393442623,0.48360655737704916,0.5655737704918032,2607,421,68,13
06f0f7921873b3cd234822e155e6937ea95a6114,46,159,113,19,0.6101694915254238,0.9152542372881356,1.0,146660,23647,2113,14
401221de5852432d742f2bdb1c4f17fb0d0e7362,40169,46339,6170,402,0.940413262854397,0.5891398366170111,0.40413262854396925,1344447,240534,27589,1094
f9496dc627d35fd3145ff55dd8f53a628963cce2,85,685,600,18,0.5311720698254364,0.7880299251870324,0.970074812967581,53717,8185,1220,58
ec4e600aeb6c69ea509b10283e0e756b18ff7be9,12,114,102,5,0.2631578947368421,1.0,1.0,3272,548,43,14
c01922d40a8716052c5b6379b506e127dbe9f3a7,24,58,34,4,0.2,1.0,1.0,2606,429,70,5
436a02af31ad39014b837d3cf4d05161fec7fadb,70,90,20,2,0.9629629629629629,0.9629629629629629,1.0,52779,7871,949,9
f669bb7b0fd323f63a5f990102f1c27d9fe4d6fe,171,404,233,4,0.2926829268292683,0.823170731707317,0.5609756097560976,65649,9571,1103,45
7ea11c2f45a3e045ded8115a81f9c9d44a55d462,69,114,45,1,0.10714285714285714,0.0,1.0,5630,768,162,11
98a35fbe698c7df70ae21b4f7310a67a476b2a9f,15,273,258,8,0.03125,0.18125,0.98125,97332,14876,1397,12
2a26597769d2e64fc1fb8d28edd432d71d2b0ad6,1,66,65,1,0.0,0.0,0.0,5086,703,149,2
63534aca7e9b7b73d11cca34462ff7001a45d333,2,81,79,2,0.0,0.0,1.0,30372,4408,748,5
c07de09adc42eb9061f2d2e5920bb446c0852f87,0,120,120,2,0.31645569620253167,0.569620253164557,1.0,546,97,17,6
0cfb6051ea906a50bc315393ba7c98950be1fc17,524,627,103,36,0.0,0.0,0.0,28618,4514,741,32
fdd10dd8b872466f8a614c7ed76b3becf2c5fc4c,213,3278,3065,56,0.19225967540574282,0.7253433208489388,0.9469413233458177,235957,38315,3719,86
acec711a6a8256577c0e91f2ecb55af5083f679c,64,948,884,9,0.09183673469387756,0.9775510204081632,0.9571428571428572,67390,9998,996,13
3975cb89bfe0699cbdd2a14e87e725b2440e670e,0,173,173,3,0.13970588235294118,1.0,1.0,9894,1616,141,3
7bd51ff536ddd45fb0eeb26ec5af429f61cd6a68,232,837,605,30,0.33109619686800895,0.70917225950783,1.0,218159,37492,3507,55
c09693e545c5138ee7da5e102e5afa9e73c25c87,825,1893,1068,92,0.26136363636363635,0.8409090909090909,0.7916666666666666,233604,36668,3918,245
8d953f5840cf64e3db54c7cf0fbb92f12f50860a,417,2684,2267,63,0.15472312703583063,0.6986970684039088,0.8965798045602605,200634,32139,3155,113
dbf0a0f6c0d604ae90845b941582a0b6f75678cb,1,13,12,2,0.0,1.0,1.0,6137,905,48,1
bd44952c2e6138dd3f8471a09463abddce17b4c5,4,18,14,2,0.0,1.0,1.0,18818,2840,30,2
3c037d9b961128d762d01e4a3219158118f6b411,19,143,124,2,0.4854368932038835,1.0,1.0,10235,1406,158,3
91ab89dd484c8177a0bec4170c93c5a6189b8048,68,60,-8,5,0.0,0.0,0.0,17410,2364,288,16
f40b76af2d56f64c68d746cd441c62a21c33b95b,38,45,7,7,1.0,1.0,1.0,44409,6643,543,15
1a764553c028be1078373fb51e71c71c4e87802a,14,3,-11,3,1.0,0.0,0.0,19379,2928,47,3
b012d8374e1189e07f83e77b7414804167fa682d,22,853,831,3,0.013888888888888888,0.8013888888888889,0.7930555555555555,66951,9367,1602,16
164ce57db2d66f9e1ba61e67367534a0be9888eb,4,411,407,5,0.0764872521246459,0.9461756373937678,0.830028328611898,78573,11018,1665,12
cf7b7fcdd69e23a780f04fc031ec0f952dab8d93,132,281,149,7,0.07936507936507936,1.0,1.0,99392,14494,2059,32
be7893082ccfc48d1ae985d1a5ae71c3605487d5,8,49,41,1,0.0,0.0,1.0,1905,305,73,4
bb12368eaca74664a66e3d5fdaf0a7f8d2e50836,40,243,203,16,0.38392857142857145,0.3125,0.9910714285714286,66370,10325,796,21
0ba13505ba5d5ecc8fcb3ef1ea9de7d58bff7d59,0,72,72,1,0.125,1.0,1.0,319,55,8,3
c01a3871c9b0f2f761a2766267a62c475039689e,171,3361,3190,50,0.2310902451747522,0.3442879499217527,0.8054251434533125,70027,10818,2055,113
833211c14cfecd64e36ab238ca943ceb97acee37,23,266,243,11,0.061452513966480445,0.9553072625698324,1.0,68263,10161,840,12
20eefeea117dcd23e30dab942acd2cf007024d9e,50,185,135,8,0.0,0.8191489361702128,0.8829787234042553,89144,12748,967,18
20088842417346311e60a501b9e2cf21d09147b8,397,397,0,17,0.0,0.0,0.0,86341,11563,2223,309
f9cf0eb36e2199b92e0fd9c131c1a3bebd4910c8,860,2279,1419,23,0.2203023758099352,0.9791216702663786,0.986321094312455,99361,15179,1902,103
a2a8e9c7839ac90f34a2fc5df7de7f9f102c8494,1915,7348,5433,71,0.3856056173200702,0.7864248098303102,0.8016383850204798,234074,39602,3354,344
0f1fb24d19a5a54abe7def87ba0464f5730a3aa9,175,171,-4,20,1.0,0.0,0.125,98784,13592,2375,263
3aad4b5ab4152d364e291cc6b0b641057faed65d,22,63,41,3,0.30952380952380953,1.0,1.0,46692,6960,559,6
864f7efffa349329d89141e1f7762413b2e475c2,22,63,41,3,0.30952380952380953,1.0,1.0,46692,6960,559,6
136099d8340e8d10d0ef0edfee24475af456ab92,29,11,-18,1,0.2777777777777778,0.0,0.0,24778,3601,458,2
2ad516aeaf5fe460d8baf32298437ea4a59e9721,550,1941,1391,11,0.0365296803652968,0.7317351598173516,0.8755707762557078,30445,5349,457,72
606662c502d56b01473d49b650b8302a13118c96,17,306,289,10,0.15723270440251572,0.1761006289308176,1.0,5369,840,170,16
47c390025b77450cde9ad4cbc47d63b55caeda79,122,771,649,111,0.0,1.0,1.0,350689,53278,6903,10
17dcbb1912246aa7d2e2a4ec5584e52e38603fea,92,837,745,6,1.0,1.0,1.0,1302,212,45,32
5934f803bfb54c1ceeeb6518398f1b82a726459f,2724,4169,1445,125,0.7155824508320726,1.0,0.3434190620272315,450021,68383,8569,593
c329b4cb341793ba16b043dbf69a205c8e9a3bd9,17,83,66,2,1.0,1.0,0.967741935483871,2248,302,30,9
45e49f31de3b54fad31561d904bdd683ef4dcdec,32,27,-5,3,0.0,1.0,0.0,5020,647,73,4
96b9b95a19d593db46898f51a676779e2be1486e,26,413,387,4,0.27225130890052357,0.8115183246073299,0.8324607329842932,3828,586,90,11
88388d760dc5d34798e375e545c0604bb3b0416d,480,2183,1703,55,0.29652996845425866,0.8249211356466877,0.9936908517350158,75581,11429,1188,45
f2ed4826805015d35ad786027d31c4245184dd67,57,1079,1022,9,0.0794912559618442,0.9093799682034976,0.9713831478537361,22989,3841,558,37
6c81f9da0d7f85011e23dd4243ff7b5b6b00189f,2,41,39,2,0.0,1.0,1.0,6082,901,49,1
12216583a124e25de630fb8d3e96ed0c7b431142,6546,8849,2303,117,1.0,1.0,0.14756801319043694,236479,36487,5408,604
70eb59c63e2205ede37fee56b84cfa21b3c15517,0,4,4,1,1.0,1.0,1.0,220,45,9,1
46a96d9c42645b5262452febd21cc995a32bb3e2,26,72,46,4,0.65,1.0,1.0,1709,305,57,6
8ad66f4bea7cea597d26ec78f12e9fddf4e64505,190,361,171,8,0.23134328358208955,1.0,0.9477611940298507,49397,7310,1350,16
