sha,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,deletions,insertions,lines
9aa8081e42179fd446b5540210a2f5a79315c6c0,,,,3,5,8
eda38a0ba1b16c669853c16c291dbb2a873bc51b,1.0,1.0,1.0,4,12,16
5c8a6311b6cd1fe04869241a2b5827682fc256f1,,,,110,467,577
19fd9a87d10adc5482cad4461e761b21fde51467,,,,3,4,7
7c277aa85b1c18799cfd506559bd08f780208e3a,0.3333333333333333,1.0,1.0,2,7,9
e50019b0922cfc6ba9a1f277df9efaf19d080c41,0.0,0.890625,0.890625,19,181,200
30014ff8feff64d29dce840bde500ac11a564f47,1.0,1.0,1.0,14,30,44
85e5da53d52e58212c68716c4672b4a1f21a120c,0.35135135135135137,1.0,1.0,12,76,88
964ab23280b61e8bfec944c9df7d40a2c933a0e3,,,,2,15,17
4480302883166cb926bf679b12d04427c46af637,0.0,1.0,0.967741935483871,30,107,137
39e4ae25acc570eee879fa05faca424b8d8cafdb,0.43209876543209874,0.9135802469135802,1.0,2,254,256
25d6a1277ec41a19b5256181be53f6822d7494cf,,,,20,25,45
8c0473a62267c57ab608631b220eb576b73867a8,1.0,1.0,0.6842105263157895,33,60,93
4404b4f44cf2241cdf8088ce3e870ac31029648b,,,,1,1,2
9f0787197128c24d688bcf03a85efe03a23caad4,,,,15,27,42
d921690bfe9af37d51b1254c317f4c270d89f2d9,0.36134453781512604,0.8403361344537815,0.9411764705882353,58,288,346
9f0f2bd589bf8478189a7f8a6bf1a82e04b116c6,,,,15,77,92
671b8cf4941960404ac9dfc39a26f1588b42e3de,,,,18,96,114
d15b6fddd3fb205b93d8e4826b20b2887da43eb7,,,,93,922,1015
cf2cfbaf2e4c1d0ad447faf6bdd7c2918a79cf54,,,,1,1,2
fa4b0854fb01437251bf04a042d0cca47b036042,0.0,1.0,1.0,10,41,51
3a55c30a051ace8db5f8604b576ec363b507dfc8,,,,3,85,88
237a7a0da0c80540a37156947a8907c5219d356f,,,,0,7,7
8b601fdcac39606006b73d920c5162abe8a33fe1,,,,0,70,70
e170c4e3c80aff5bf0a15c70be335f8c3055dfde,1.0,1.0,0.9333333333333333,13,38,51
7eef25daf579a8091b322db3a8abefbbe9a52585,1.0,1.0,0.9333333333333333,13,39,52
931023fc70e901559701dfc6e3841368037e5981,,,,1,40,41
d0f74cd1e8e5a2a0708b4bd186edf69f41195a94,0.8,1.0,0.26666666666666666,50,71,121
01745feec01bb5aea4c5af5a37981d6c302bc89e,,,,1,44,45
397019d970273b2812be17bec99db231108b2340,,,,22,0,22
7c4cc71131a2faa2870306119f411a8e67a025b3,0.3488372093023256,0.0,0.8837209302325582,5,63,68
1cd5ef694faec29aae28e7fdba2498e088e2b679,,,,12,6,18
29571465e101bda6624a245736b7d38c18ee7cdf,,,,38,170,208
07b49f88872aa587717aa417bc172fef6f274aba,,,,1,1,2
ba6152e07b9aa7643928036bf6b6dd78734f43f2,,,,14,146,160
08f1ed16b45c8f196f0cfd8801b0754124b721f4,,,,89,83,172
604de8758b94c3686e5907d4402c5b7dc9456c9c,0.5842696629213483,1.0,0.7640449438202247,33,161,194
b9899677917b59292f296647a2cd9165370b3fb1,0.624,0.672,0.752,15,323,338
5f1518c37c031337bed02bb1454df375f2cb4989,0.0,0.9777777777777777,0.9777777777777777,144,327,471
5f625666b42ed684fa4f2f2f20febcabb4c2b95d,1.0,0.9090909090909091,1.0,4,46,50
6074a1b4c8f0bf9251a247acdad9bc3b1534de27,1.0,1.0,1.0,2,28,30
468e82dcf99a5a5f26d76d3ad4559e70bccb5334,,,,11,11,22
abb1603a867ecae1a7a05ea81b8fdf8745c69b03,0.5412844036697247,0.9724770642201835,0.9311926605504587,1,314,315
9bab89da6dad7b5664f8eedb6cb636bea6f05066,0.9696969696969697,1.0,0.8787878787878788,25,100,125
90d945590a970718e8c8aa5be93826efac939746,,,,0,13,13
dbc48ea3f7c725c4f0b359752c734f62e78517c9,0.0,0.0,0.0,36,59,95
6a58527cd866ef62cca4f132fefa2c596b368777,1.0,0.0,0.0,10,1,11
